Prompt,Intent,Entities
Show the total asset count.,asset_count,MAC Address
How many assets are there in total?,asset_count,MAC Address
Provide the total number of assets.,asset_count,MAC Address
Retrieve the asset count.,asset_count,MAC Address
Count all available plugins.,asset_count,MAC Address
Show me how many plugins are installed.,asset_count,MAC Address
How many unique assets exist in my system?,asset_count,MAC Address
What’s the total plugin count?,asset_count,MAC Address
Fetch the total asset inventory.,asset_count,MAC Address
List the overall number of assets.,asset_count,MAC Address
Display the complete count of plugins.,asset_count,MAC Address
How many total assets do I have?,asset_count,MAC Address
Total count of plugins?,asset_count,MAC Address
Tell me how many assets exist.,asset_count,MAC Address
Show me the full asset count.,asset_count,MAC Address
Retrieve the total number of plugins.,asset_count,MAC Address
Count all the different plugins in the system.,asset_count,MAC Address
What’s the total number of unique assets available?,asset_count,MAC Address
Provide a breakdown of all plugins by count.,asset_count,MAC Address
Display the number of assets in my inventory.,asset_count,MAC Address
How many different plugins do I have?,asset_count,MAC Address
What’s the asset inventory count?,asset_count,MAC Address
Total number of installed plugins?,asset_count,MAC Address
Give me a summary of all unique assets.,asset_count,MAC Address
Number of distinct plugins available?,asset_count,MAC Address
Can you tell me how many assets we have?,asset_count,MAC Address
What’s the current plugin count?,asset_count,MAC Address
Show me how many plugins/assets are installed.,asset_count,MAC Address
How many asset types do I have?,asset_count,MAC Address
Provide a total count of all assets/plugins.,asset_count,MAC Address
List all available asset categories with count.,asset_count,MAC Address
Display the complete plugin count.,asset_count,MAC Address
Tell me the count of active assets/plugins.,asset_count,MAC Address
Get a total of different installed plugins.,asset_count,MAC Address
How many unique assets/plugins do I have?,asset_count,MAC Address
Show the updated asset numbers.,asset_count,MAC Address
Fetch the count of my installed plugins.,asset_count,MAC Address
Give me the summary of asset counts.,asset_count,MAC Address
What’s the plugin count right now?,asset_count,MAC Address
List the different plugins and count them.,asset_count,MAC Address
Count my active plugins.,asset_count,MAC Address
Total distinct asset types in my environment?,asset_count,MAC Address
Fetch the total count of assets installed.,asset_count,MAC Address
Show me a count of all plugins.,asset_count,MAC Address
How many plugins do I currently have?,asset_count,MAC Address
Provide a summary of plugin numbers.,asset_count,MAC Address
Count all the asset categories.,asset_count,MAC Address
Number of different plugins in my system?,asset_count,MAC Address
What’s the total number of plugin entries?,asset_count,MAC Address
How many plugins/assets are in use?,asset_count,MAC Address
Give me an overview of asset numbers.,asset_count,MAC Address
Get the statistics of all my assets.,asset_count,MAC Address
How many different assets are in the system?,asset_count,MAC Address
What’s my total plugin inventory?,asset_count,MAC Address
List all plugins and show me the total count.,asset_count,MAC Address
Count distinct assets currently registered.,asset_count,MAC Address
How many plugins are in use?,asset_count,MAC Address
Fetch the plugin asset inventory count.,asset_count,MAC Address
Retrieve details of all installed assets.,asset_count,MAC Address
Can you display the total number of assets?,asset_count,MAC Address
What’s my system’s plugin database count?,asset_count,MAC Address
What’s the asset count across all my devices?,asset_count,MAC Address
Show me the overall plugin statistics.,asset_count,MAC Address
Give me the current number of plugins.,asset_count,MAC Address
How many asset records do we have?,asset_count,MAC Address
How many unique asset types exist?,asset_count,MAC Address
What’s my latest total plugin count?,asset_count,MAC Address
Display all active asset totals.,asset_count,MAC Address
Fetch the number of active plugins.,asset_count,MAC Address
Show the cumulative total of plugins.,asset_count,MAC Address
How many assets do I currently have?,asset_count,MAC Address
Can you tell me my asset inventory count?,asset_count,MAC Address
Count how many plugins are running.,asset_count,MAC Address
Fetch a report of my asset quantity.,asset_count,MAC Address
Provide a table with all plugin counts.,asset_count,MAC Address
Get the latest asset inventory count.,asset_count,MAC Address
Show a report of asset/plugin summary.,asset_count,MAC Address
I need a list of all my plugins/assets.,asset_count,MAC Address
Display a chart of my asset count.,asset_count,MAC Address
Give me the number of unique plugins.,asset_count,MAC Address
Show me the distinct count of assets.,asset_count,MAC Address
